acdnt_no,engn_code,acdnt_year,acdnt_dd_dc,dfk_code,dfk_dc,tmzon_div_1_code,tmzon_div_1_dc,occrrnc_time_code,occrrnc_time_dc,legaldong_code,legaldong_name,acdnt_hcode,acdnt_hdc,acdnt_mcode,acdnt_mdc,acdnt_code,acdnt_dc,lrg_violt_1_code,lrg_violt_1_dc,x_crdnt,y_crdnt,wether_sttus_code,wether_sttus_dc,road_stle_code,road_stle_dc,hhdgw_at,acdnt_gae_code,acdnt_gae_dc,dprs_cnt,sep_cnt,slp_cnt,inj_aplcnt_cnt,wrngdo_vhcle_asort_hcode,wrngdo_vhcle_asort_hdc,wrngdo_vhcle_asort_code,wrngdo_vhcle_asort_dc,injury_dgree_1_hcode,injury_dgree_1_hdc,injury_dgree_1_code,injury_dgree_1_dc,acdnt_age_1_code,acdnt_age_1_dc,sexdstn_div_1_code,sexdstn_div_1_dc,dmge_vhcle_asort_hcode,dmge_vhcle_asort_hdc,dmge_vhcle_asort_code,dmge_vhcle_asort_dc,injury_dgree_2_hcode,injury_dgree_2_hdc,injury_dgree_2_code,injury_dgree_2_dc,acdnt_age_2_code,acdnt_age_2_dc,sexdstn_div_2_code,sexdstn_div_2_dc,spt_otlnmap_at,rdse_sttus_code,rdse_sttus_dc,acdnt_pos,acdnt_des,road_div,road_no,route_nm,otn_acdnt_no,city_idt_code,city_idt_dc,xCrdnt,yCrdnt,acdnt_frm_lv1,acdnt_frm_lv2,acdnt_frm_lv3,acdnt_sta_lv1,acdnt_sta_lv2,searchCondition,pageIndex,recordCountPerPage,searchConditionText,searchKeyword,pageUnit,zoneYn
2016012300100023,00,2016,2016년  1월 23일,6,토요일,02,야간,00,00시,4427011000,충청남도 당진시 사기소리,300,차량단독,310,공작물충돌,310,차량단독 - 공작물충돌,06,안전운전불이행,921905,1873309,02,흐림,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,31,31세,1,남,null,null,null,null,null,null,null,null,null,null,null,null,없음,01,포장 - 건조,대전-당진고속도로 당진분기점,,101,30,대전당진고속도로,20160002111640,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016012500100020,00,2016,2016년  1월 25일,1,월요일,02,야간,02,02시,3023011500,대전광역시 대덕구 덕암동,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,06,안전운전불이행,992723,1827808,02,흐림,299,단일로 - 기타,Y,01,사망사고,1,0,2,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,59,59세,1,남,100,원동기 자전거 이상,120,승합,200,부상,220,경상,46,46세,1,남,없음,01,포장 - 건조,경부고속도로 하행선 281.3km,,101,1,경부고속도로,20160002311640,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016012500100243,00,2016,2016년  1월 25일,1,월요일,01,주간,13,13시,4161037024,경기도 광주시 남한산성면,300,차량단독,310,공작물충돌,310,차량단독 - 공작물충돌,06,안전운전불이행,978166,1939636,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,3,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,47,47세,1,남,null,null,null,null,null,null,null,null,null,null,null,null,없음,01,포장 - 건조,중부고속도로 353.9k 하행선,,101,35,중부고속도로,20160000391540,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016012500100424,00,2016,2016년  1월 25일,1,월요일,02,야간,18,18시,4812125000,경상남도 창원시 의창구 동읍,300,차량단독,310,공작물충돌,310,차량단독 - 공작물충돌,06,안전운전불이행,1109432,1699658,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,62,62세,1,남,null,null,null,null,null,null,null,null,null,null,null,null,없음,01,포장 - 건조,남해고속도로 동창원IC 출구 램프구간,,101,10,남해고속도로,20160000122040,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016013000100265,00,2016,2016년  1월 30일,6,토요일,01,주간,10,10시,4313037028,충청북도 충주시 앙성면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,03,안전거리미확보,1019528,1898822,01,맑음,998,기타 - 기타,Y,01,사망사고,2,0,1,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,45,45세,1,남,100,원동기 자전거 이상,130,화물,100,사망,100,사망,42,42세,1,남,없음,01,포장 - 건조,중부내륙고속도로 마산방면 244.5k 지점,,101,45,중부내륙고속도로,20160000491540,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016020100100077,00,2016,2016년  2월  1일,1,월요일,01,주간,07,07시,4772025031,경상북도 군위군 군위읍,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,1095080,1805092,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,1,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,61,61세,1,남,100,원동기 자전거 이상,130,화물,200,부상,220,경상,34,34세,1,남,없음,01,포장 - 건조,중앙고속도로 부산기점 150.2km지점 하행선,,101,55,중앙고속도로,20160001221940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016020200100072,00,2016,2016년  2월  2일,2,화요일,01,주간,06,06시,4725032021,경상북도 상주시 사벌면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,1062796,1831484,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,1,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,50,50세,1,남,300,건설기계,300,건설기계,200,부상,220,경상,63,63세,1,남,없음,01,포장 - 건조,중부내륙 하행선 151.4km,,101,45,중부내륙고속도로,20160001271940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016020300100616,00,2016,2016년  2월  3일,3,수요일,02,야간,21,21시,4111113100,경기도 수원시 장안구 이목동,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,06,안전운전불이행,954115,1924735,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,39,39세,1,남,100,원동기 자전거 이상,130,화물,null,null,null,기타불명,null,기타불명,null,기타불명,없음,01,포장 - 건조,영동고속도로 인천방향 29.5km지점,,101,50,영동고속도로,20160003341340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016020400100258,00,2016,2016년  2월  4일,4,목요일,01,주간,11,11시,4574035000,전라북도 장수군 계남면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,1004379,1748721,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,51,51세,1,남,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,35,35세,1,남,없음,01,포장 - 건조,익산장수고속도로 익산방향 54.3k 지점 장수터널 내부,,101,20,익산포항고속도로,20160000151740,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016020700100071,00,2016,2016년  2월  7일,7,일요일,02,야간,04,04시,2818510600,인천광역시 연수구 송도동,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,915704,1936754,01,맑음,240,단일로 - 교량,Y,01,사망사고,1,0,7,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,37,37세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,54,54세,1,남,없음,01,포장 - 건조,제2경인고속도로 인천대교구간 5.3km(공항방면) 인천대교사장교 쪽에서 인천대교TG방면,,101,110,제2경인고속도로,20160002262340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016021100100202,00,2016,2016년  2월 11일,4,목요일,01,주간,14,14시,4215031025,강원도 강릉시 성산면,300,차량단독,340,전도전복,340,차량단독 - 전도전복,06,안전운전불이행,1117391,1975581,01,맑음,299,단일로 - 기타,Y,01,사망사고,2,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,57,57세,1,남,null,null,null,null,null,null,null,null,null,null,null,null,없음,01,포장 - 건조,영동고속도로 인천방향 233.7km지점,,101,50,영동고속도로,20160001461440,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016021900100302,00,2016,2016년  2월 19일,5,금요일,01,주간,15,15시,4825013200,경상남도 김해시 장유면,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,06,안전운전불이행,1125390,1686956,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,47,47세,1,남,100,원동기 자전거 이상,130,화물,100,사망,100,사망,55,55세,1,남,없음,01,포장 - 건조,남해제2지선 고속도로 부산방면 서부산요금소 앞 노상,,101,104,제2남해고속도로,20160002001240,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022100100064,00,2016,2016년  2월 21일,7,일요일,02,야간,04,04시,4413125000,충청남도 천안시 동남구 목천읍,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,973639,1863163,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,37,37세,1,남,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,25,25세,1,남,없음,01,포장 - 건조,경부고속도로 하행선 331K,,101,1,경부고속도로,20160005001640,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022200100023,00,2016,2016년  2월 22일,1,월요일,02,야간,04,04시,4276036022,강원도 평창군 진부면,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,06,안전운전불이행,1091014,1961135,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,3,0,0,100,원동기 자전거 이상,110,승용,200,부상,210,중상,43,43세,1,남,100,원동기 자전거 이상,110,승용,100,사망,100,사망,36,36세,1,남,없음,01,포장 - 건조,영동고속도로 강릉방면 196.2k 영동고속도로 진부1,2터널,,101,50,영동고속도로,20160001691440,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022300100013,00,2016,2016년  2월 23일,2,화요일,02,야간,00,00시,4511311300,전라북도 전주시 덕진구 우아동1가,200,차대차,220,측면직각충돌,220,차대차 - 측면직각충돌,98,기타,972189,1758572,01,맑음,299,단일로 - 기타,Y,01,사망사고,3,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,54,54세,1,남,100,원동기 자전거 이상,110,승용,100,사망,100,사망,58,58세,1,남,없음,01,포장 - 건조,순천완주고속도로 111k 완주방향 우아동 2가,,101,27,순천완주고속도로,20160000341740,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022400100069,00,2016,2016년  2월 24일,3,수요일,01,주간,06,06시,4873025327,경상남도 함안군 칠원읍,200,차대차,210,정면충돌,210,차대차 - 정면충돌,06,안전운전불이행,1094596,1699611,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,1,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,54,54세,1,남,100,원동기 자전거 이상,130,화물,200,부상,220,경상,41,41세,1,남,없음,01,포장 - 건조,남해고속도로 부산방면 118.5k 지점,,101,102,마산외곽고속도로,20160000302040,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022600100592,00,2016,2016년  2월 26일,5,금요일,02,야간,22,22시,4477041025,충청남도 서천군 서면,200,차대차,220,측면직각충돌,220,차대차 - 측면직각충돌,06,안전운전불이행,919080,1797386,02,흐림,299,단일로 - 기타,Y,01,사망사고,1,1,5,1,100,원동기 자전거 이상,110,승용,200,부상,230,부상신고,19,19세,2,여,100,원동기 자전거 이상,130,화물,200,부상,220,경상,49,49세,1,남,없음,01,포장 - 건조,서해안고속도로 목포방향(하행선) 173km지점 도로 (하행선 춘장대IC 감속차로 부근 도로),,101,15,서해안고속도로,20160000711741,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022700100125,00,2016,2016년  2월 27일,6,토요일,01,주간,06,06시,4150031030,경기도 이천시 신둔면,200,차대차,220,측면직각충돌,220,차대차 - 측면직각충돌,05,과속,990044,1920173,02,흐림,299,단일로 - 기타,Y,01,사망사고,1,1,4,0,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,49,49세,1,남,100,원동기 자전거 이상,120,승합,200,부상,220,경상,58,58세,1,남,없음,03,포장 - 결빙,중부고속도로 대전방향 331k,,101,35,중부고속도로,20160000881540,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016022800100047,00,2016,2016년  2월 28일,7,일요일,02,야간,03,03시,4887038023,경상남도 함양군 서상면,300,차량단독,340,전도전복,340,차량단독 - 전도전복,03,안전거리미확보,1014596,1743072,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,36,36세,2,여,null,null,null,null,null,null,null,null,null,null,null,null,없음,01,포장 - 건조,통영대전고속도로 통영방향 127.9k 지점 서상 톨게이트,,101,35,중부고속도로,20160000371740,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016030200100004,00,2016,2016년  3월  2일,3,수요일,02,야간,00,00시,4825033000,경상남도 김해시 진례면,100,차대사람,199,기타,199,차대사람 - 기타,06,안전운전불이행,1114370,1696460,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,40,40세,1,남,500,보행자,500,보행자,100,사망,100,사망,52,52세,2,여,없음,01,포장 - 건조,남해고속도로 순천방향 140.4km지점,,101,10,남해고속도로,20160002601240,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016030300100080,00,2016,2016년  3월  3일,4,목요일,01,주간,06,06시,4121010400,경기도 광명시 소하동,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,945254,1936674,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,38,38세,1,남,300,건설기계,300,건설기계,300,상해없음,300,상해없음,43,43세,1,남,없음,01,포장 - 건조,제2경인고속도로 22.95km지점(인천방향),,101,110,제2경인고속도로,20160003352340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016030700100272,00,2016,2016년  3월  7일,1,월요일,01,주간,14,14시,4782025339,경상북도 청도군 청도읍,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,1115293,1731915,01,맑음,299,단일로 - 기타,Y,01,사망사고,4,0,1,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,49,49세,1,남,100,원동기 자전거 이상,130,화물,200,부상,220,경상,61,61세,1,남,없음,01,포장 - 건조,신대구부산고속도로 하행 54.7km 고속도로,,101,55,중앙고속도로,20160002281940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016031100100325,00,2016,2016년  3월 11일,5,금요일,01,주간,14,14시,4728010700,경상북도 문경시 불정동,200,차대차,230,추돌,232,차대차 - 추돌 - 주정차중,03,안전거리미확보,1056495,1851974,01,맑음,230,단일로 - 터널,Y,01,사망사고,1,4,5,0,100,원동기 자전거 이상,110,승용,200,부상,220,경상,50,50세,1,남,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,37,37세,1,남,없음,01,포장 - 건조,중부내륙고속도로 내서기점 175.7km 하행선 진남터널 내 진남터널 내,,101,45,중부내륙고속도로,20160002411940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016031400100473,00,2016,2016년  3월 14일,1,월요일,02,야간,19,19시,4725012300,경상북도 상주시 헌신동,200,차대차,210,정면충돌,210,차대차 - 정면충돌,06,안전운전불이행,1065152,1819083,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,2,0,100,원동기 자전거 이상,130,화물,100,사망,100,사망,58,58세,1,남,100,원동기 자전거 이상,110,승용,200,부상,220,경상,35,35세,1,남,없음,01,포장 - 건조,청주상주간고속도로 상주방면 77.6km,,101,30,청주-상주고속도로,20160002551940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016031900100104,00,2016,2016년  3월 19일,6,토요일,01,주간,06,06시,4719025026,경상북도 구미시 선산읍,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,03,안전거리미확보,1068726,1803536,04,안개,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,47,47세,1,남,100,원동기 자전거 이상,130,화물,100,사망,100,사망,31,31세,1,남,없음,02,포장 - 습기,중부내륙고속도로 하행 121.8km 고속도로,,101,45,중부내륙고속도로,20160002741940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016032000100079,00,2016,2016년  3월 20일,7,일요일,02,야간,05,05시,4136025024,경기도 남양주시 와부읍,200,차대차,299,기타,299,차대차 - 기타,06,안전운전불이행,978333,1956140,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,53,53세,1,남,100,원동기 자전거 이상,110,승용,300,상해없음,300,상해없음,47,47세,1,남,없음,01,포장 - 건조,경춘고속도로 춘천방향 8.5Km,,101,60,서울-춘천고속도로,20160008421340,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016032300100470,00,2016,2016년  3월 23일,3,수요일,02,야간,20,20시,4772025031,경상북도 군위군 군위읍,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,1096529,1807946,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,1,0,0,100,원동기 자전거 이상,130,화물,200,부상,210,중상,55,55세,1,남,100,원동기 자전거 이상,130,화물,100,사망,100,사망,42,42세,1,남,없음,01,포장 - 건조,중앙고속도로 부산기점 153.2km 하행선,,101,55,중앙고속도로,20160002861940,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016032700100263,00,2016,2016년  3월 27일,7,일요일,01,주간,15,15시,4213038021,강원도 원주시 판부면,300,차량단독,310,공작물충돌,310,차량단독 - 공작물충돌,06,안전운전불이행,1043154,1921946,01,맑음,299,단일로 - 기타,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,110,승용,100,사망,100,사망,64,64세,1,남,null,null,null,null,null,null,null,null,null,null,null,null,없음,01,포장 - 건조,중앙고속도로 부산방향 306.4km지점,,101,55,중앙고속도로,20160002671440,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016032900100149,00,2016,2016년  3월 29일,2,화요일,01,주간,09,09시,4575035528,전라북도 임실군 오수면,200,차대차,210,정면충돌,210,차대차 - 정면충돌,06,안전운전불이행,984211,1732843,01,맑음,299,단일로 - 기타,Y,01,사망사고,4,11,4,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,51,51세,1,남,100,원동기 자전거 이상,120,승합,200,부상,210,중상,69,69세,1,남,없음,01,포장 - 건조,순천방향 79.8k 지점 오수 2터널,,101,27,순천완주고속도로,20160000641740,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
2016033000100104,00,2016,2016년  3월 30일,3,수요일,01,주간,08,08시,4684032024,전라남도 무안군 몽탄면,200,차대차,230,추돌,231,차대차 - 추돌 - 진행중,06,안전운전불이행,908576,1657024,04,안개,230,단일로 - 터널,Y,01,사망사고,1,0,0,0,100,원동기 자전거 이상,130,화물,300,상해없음,300,상해없음,36,36세,1,남,100,원동기 자전거 이상,140,특수,300,상해없음,300,상해없음,49,49세,1,남,없음,02,포장 - 습기,서해안고속도로 목포방향(하행선) 12km지점 (무안IC 에서 목포IC 방향 몽탄3터널 내),,101,15,서해안고속도로,20160000881741,null,null,0.0,0.0,null,null,null,null,null,,1,10,,,3,false
